0,1
energy_vel_kurtosis,0.0
mfcc6_vel_mean,0.0
mfcc10_vel_kurtosis,0.0
mfcc1_accel_mean,0.0
mfcc1_kurtosis,0.0
mfcc7_var,0.0
energy_mean,0.0
mfcc5_vel_mean,0.0
mfcc2_mean,0.0
mfcc7_accel_kurtosis,0.0
mfcc2_accel_kurtosis,0.0
mfcc6_vel_kurtosis,0.0
mfcc1_vel_kurtosis,0.0
mfcc6_mean,0.0
mfcc8_vel_var,0.0
mfcc3_skewness,0.0
mfcc2_accel_var,0.0
mfcc6_accel_skewness,0.0
mfcc5_accel_mean,0.0
mfcc1_vel_var,0.0
mfcc6_vel_var,0.0
mfcc10_accel_kurtosis,0.0
mfcc8_var,0.0
mfcc11_vel_kurtosis,0.0
mfcc1_accel_var,0.0
mfcc7_vel_skewness,0.0
mfcc9_vel_mean,0.0
mfcc2_vel_mean,0.0
mfcc7_accel_var,0.0
mfcc13_vel_var,0.0
mfcc3_mean,0.0
mfcc1_var,0.0
mfcc_skewness,0.0
mfcc5_accel_kurtosis,0.0
mfcc1_vel_skewness,0.0
mfcc5_accel_var,0.0
mfcc12_vel_kurtosis,0.0
mfcc6_accel_kurtosis,0.0
mfcc12_accel_kurtosis,0.0
mfcc4_mean,0.0
mfcc11_kurtosis,0.0
mfcc6_skewness,0.0
mfcc2_vel_var,0.0
mfcc9_skewness,0.0
mfcc8_accel_skewness,0.0
mfcc8_vel_skewness,0.0
mfcc13_accel_var,0.0
mfcc5_vel_var,0.0
energy_var,0.0
mfcc6_var,0.0
mfcc11_mean,0.0
energy_vel_var,0.0
mfcc10_vel_var,0.0
mfcc8_vel_mean,0.0
mfcc8_mean,0.0
mfcc10_accel_skewness,0.0
mfcc6_accel_var,0.0
ff_var,0.0
mfcc12_vel_skewness,0.0
mfcc4_accel_var,0.0
mfcc13_vel_kurtosis,0.0
mfcc11_accel_kurtosis,0.0
mfcc10_accel_var,0.0
mfcc3_vel_mean,0.0
mfcc11_vel_var,0.0
mfcc13_skewness,0.0
mfcc9_accel_skewness,0.0
mfcc5_vel_kurtosis,0.0
mfcc4_accel_mean,0.0
energy_accel_skewness,0.0
mfcc3_accel_mean,0.0
mfcc9_accel_var,0.0
mfcc3_var,0.0
mfcc13_vel_mean,0.0
mfcc13_var,0.0
mfcc2_kurtosis,0.0
energy_accel_kurtosis,0.0
mfcc9_accel_mean,0.0
mfcc9_vel_skewness,0.0
mfcc13_accel_mean,0.0
mfcc5_var,0.0
mfcc13_accel_kurtosis,0.0
mfcc11_accel_skewness,0.0
mfcc13_accel_skewness,0.0
mfcc4_skewness,0.0
mfcc2_vel_kurtosis,0.0
mfcc9_accel_kurtosis,0.0
mfcc11_var,0.0
mfcc11_vel_mean,0.0
mfcc3_accel_skewness,0.0
mfcc_kurtosis,0.0
mfcc7_accel_skewness,0.0
mfcc3_vel_kurtosis,0.0
mfcc2_skewness,0.0
mfcc9_vel_kurtosis,0.0
mfcc4_vel_mean,0.0
mfcc9_vel_var,0.0
mfcc12_var,0.0
mfcc13_vel_skewness,0.0
ff_mean,0.0
mfcc3_vel_skewness,0.0
mfcc1_accel_kurtosis,0.0
mfcc10_var,0.0
mfcc8_accel_var,0.0
gender_int,0.0
